id_siniestro,score_reglas,score_ml,score_anomalia,score_nlp,score_final,nivel_riesgo,reglas_activadas,explicacion,accion_sugerida
SIN-00760,100,100.0,80.71,90.0,97.07,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00406,100,99.07,82.69,90.0,97.04,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R009_DINAMICA_SOSPECHOSA: Dinamica a validar; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. Evento nocturno sin tercero identificado. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00723,100,99.91,80.2,90.0,97.0,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El vehiculo aparece en multiples reclamos. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00025 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00263,100,99.9,79.73,90.0,96.95,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00865,99,99.83,85.19,90.0,96.93,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00687,98,99.98,89.82,90.0,96.88,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R004_FRECUENCIA_ASEGURADO: Frecuencia del asegurado; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. El asegurado concentra varios reclamos recientes. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00667,99,100.0,83.45,90.0,96.8,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00025 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00407,100,99.97,77.31,90.0,96.72,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El vehiculo aparece en multiples reclamos. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00965,99,99.9,81.53,90.0,96.58,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00025 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00044,99,99.87,81.18,90.0,96.54,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 97. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00395,100,99.9,73.98,90.0,96.37,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R009_DINAMICA_SOSPECHOSA: Dinamica a validar; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. Evento nocturno sin tercero identificado. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00683,99,99.97,79.22,90.0,96.36,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00025 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00153,100,99.26,75.43,90.0,96.36,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00003 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00573,100,99.88,73.83,90.0,96.35,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R005_FRECUENCIA_VEHICULO: Frecuencia del vehiculo; R006_PROVEEDOR_RECURRENTE: Proveedor recurrente; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R010_TERCERO_NO_IDENTIFICADO: Tercero no identificado; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico; R013_PROVEEDOR_OBSERVADO: Proveedor en lista simulada,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. El vehiculo aparece en multiples reclamos. El proveedor concentra reclamos o casos observados. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. No consta tercero identificado en un caso vehicular. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El proveedor aparece en lista restrictiva simulada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00332,100,99.97,73.25,90.0,96.32,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R003_DEMORA_ROBO: Demora en robo; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Robo reportado con demora atipica. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
SIN-00843,99,99.97,78.58,90.0,96.3,Rojo,R001_BORDE_VIGENCIA: Evento cerca de vigencia; R002_REPORTE_TARDIO: Reporte tardio; R007_DOCUMENTOS_INCOMPLETOS: Documentos incompletos; R008_DOCUMENTOS_INCONSISTENTES: Documentos inconsistentes; R011_NARRATIVA_SIMILAR: Narrativa similar; R012_MONTO_ATIPICO: Monto atipico,El caso queda en nivel Rojo con score 96. Ocurrio muy cerca del inicio o fin de poliza. Existe demora relevante entre ocurrencia y reporte. Faltan documentos para completar validacion. Hay documentos ilegibles o inconsistentes. La descripcion es muy similar a otro reclamo. El monto reclamado es alto frente a la suma asegurada. El modelo supervisado tambien asigna una probabilidad sintetica elevada de prioridad. El detector de anomalias lo ubica fuera del patron habitual del dataset. Narrativa comparable con SIN-00002 (100%). No es una acusacion de fraude; es una alerta para revision humana especializada.,Priorizar revision documental y analisis antifraude humano
